timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559816867333,2241,HTTP Request,200,OK,Thread Group 1-1,text,true,,169,127,2,2,http://localhost:8080/test/charger,2241,0,2
1559816869374,519,HTTP Request,200,OK,Thread Group 1-2,text,true,,169,127,2,2,http://localhost:8080/test/charger,519,0,1
1559816869894,482,HTTP Request,200,OK,Thread Group 1-2,text,true,,169,127,2,2,http://localhost:8080/test/charger,482,0,1
1559816869574,1295,HTTP Request,200,OK,Thread Group 1-1,text,true,,169,127,2,2,http://localhost:8080/test/charger,1295,0,1
1559816870377,654,HTTP Request,200,OK,Thread Group 1-2,text,true,,169,127,2,2,http://localhost:8080/test/charger,654,0,0
1559816870869,523,HTTP Request,200,OK,Thread Group 1-1,text,true,,169,127,2,2,http://localhost:8080/test/charger,523,0,1
1559816871032,520,HTTP Request,200,OK,Thread Group 1-2,text,true,,169,127,3,3,http://localhost:8080/test/charger,520,0,1
1559816871392,496,HTTP Request,200,OK,Thread Group 1-1,text,true,,169,127,3,3,http://localhost:8080/test/charger,496,0,1
1559816871415,724,HTTP Request,200,OK,Thread Group 1-3,text,true,,169,127,3,3,http://localhost:8080/test/charger,724,0,1
1559816871553,586,HTTP Request,200,OK,Thread Group 1-2,text,true,,169,127,3,3,http://localhost:8080/test/charger,586,0,1
1559816871888,486,HTTP Request,200,OK,Thread Group 1-1,text,true,,169,127,3,3,http://localhost:8080/test/charger,486,0,1
1559816872139,468,HTTP Request,200,OK,Thread Group 1-2,text,true,,169,127,3,3,http://localhost:8080/test/charger,468,0,1
1559816872139,565,HTTP Request,200,OK,Thread Group 1-3,text,true,,169,127,3,3,http://localhost:8080/test/charger,565,0,1
1559816872375,497,HTTP Request,200,OK,Thread Group 1-1,text,true,,169,127,3,3,http://localhost:8080/test/charger,497,0,0
1559816872607,488,HTTP Request,200,OK,Thread Group 1-2,text,true,,169,127,3,3,http://localhost:8080/test/charger,488,0,1
1559816872705,468,HTTP Request,200,OK,Thread Group 1-3,text,true,,169,127,3,3,http://localhost:8080/test/charger,468,0,1
1559816872874,621,HTTP Request,200,OK,Thread Group 1-1,text,true,,169,127,4,4,http://localhost:8080/test/charger,620,0,1
1559816873097,479,HTTP Request,200,OK,Thread Group 1-2,text,true,,169,127,4,4,http://localhost:8080/test/charger,479,0,1
1559816873174,496,HTTP Request,200,OK,Thread Group 1-3,text,true,,169,127,4,4,http://localhost:8080/test/charger,496,0,1
1559816873495,442,HTTP Request,200,OK,Thread Group 1-1,text,true,,169,127,4,4,http://localhost:8080/test/charger,442,0,1
1559816873576,456,HTTP Request,200,OK,Thread Group 1-2,text,true,,169,127,4,4,http://localhost:8080/test/charger,456,0,1
1559816873670,485,HTTP Request,200,OK,Thread Group 1-3,text,true,,169,127,4,4,http://localhost:8080/test/charger,485,0,1
1559816873937,489,HTTP Request,200,OK,Thread Group 1-1,text,true,,169,127,4,4,http://localhost:8080/test/charger,489,0,1
1559816874033,466,HTTP Request,200,OK,Thread Group 1-2,text,true,,169,127,4,4,http://localhost:8080/test/charger,466,0,0
1559816874155,468,HTTP Request,200,OK,Thread Group 1-3,text,true,,169,127,3,3,http://localhost:8080/test/charger,468,0,1
1559816873458,1287,HTTP Request,200,OK,Thread Group 1-4,text,true,,169,127,3,3,http://localhost:8080/test/charger,1287,0,0
1559816874426,471,HTTP Request,200,OK,Thread Group 1-1,text,true,,169,127,3,3,http://localhost:8080/test/charger,471,0,1
1559816874624,456,HTTP Request,200,OK,Thread Group 1-3,text,true,,169,127,2,2,http://localhost:8080/test/charger,456,0,0
1559816874746,442,HTTP Request,200,OK,Thread Group 1-4,text,true,,169,127,2,2,http://localhost:8080/test/charger,442,0,0
1559816875080,538,HTTP Request,200,OK,Thread Group 1-3,text,true,,169,127,3,3,http://localhost:8080/test/charger,538,0,1
1559816875188,472,HTTP Request,200,OK,Thread Group 1-4,text,true,,169,127,3,3,http://localhost:8080/test/charger,472,0,1
1559816875499,427,HTTP Request,200,OK,Thread Group 1-5,text,true,,169,127,3,3,http://localhost:8080/test/charger,427,0,1
1559816875618,491,HTTP Request,200,OK,Thread Group 1-3,text,true,,169,127,3,3,http://localhost:8080/test/charger,491,0,1
1559816875660,462,HTTP Request,200,OK,Thread Group 1-4,text,true,,169,127,3,3,http://localhost:8080/test/charger,462,0,1
1559816875926,434,HTTP Request,200,OK,Thread Group 1-5,text,true,,169,127,3,3,http://localhost:8080/test/charger,434,0,1
1559816876109,452,HTTP Request,200,OK,Thread Group 1-3,text,true,,169,127,3,3,http://localhost:8080/test/charger,452,0,1
1559816876122,474,HTTP Request,200,OK,Thread Group 1-4,text,true,,169,127,2,2,http://localhost:8080/test/charger,474,0,1
1559816876361,485,HTTP Request,200,OK,Thread Group 1-5,text,true,,169,127,2,2,http://localhost:8080/test/charger,485,0,1
1559816876597,442,HTTP Request,200,OK,Thread Group 1-4,text,true,,169,127,2,2,http://localhost:8080/test/charger,442,0,0
1559816876846,453,HTTP Request,200,OK,Thread Group 1-5,text,true,,169,127,2,2,http://localhost:8080/test/charger,453,0,1
1559816877039,446,HTTP Request,200,OK,Thread Group 1-4,text,true,,169,127,2,2,http://localhost:8080/test/charger,446,0,1
1559816877299,465,HTTP Request,200,OK,Thread Group 1-5,text,true,,169,127,3,3,http://localhost:8080/test/charger,465,0,1
